"Parameter";"Mean";"SD";"Naive SE";"Time-series SE";"2.5%";"25%";"50%";"75%";"97.5%"
"Mu_L1[2]";1,09311282366777;0,0240455643259018;0,000138827130363759;0,000138330825425992;1,04486025866163;1,07713706306662;1,0933586407278;1,10949636276722;1,139478060636
"Mu_L1[3]";1,07495505287884;0,0220758712121626;0,000127455101869376;0,000128297112564222;1,0308822042968;1,06005863011984;1,07524650927026;1,0898996447493;1,11770841406486
"Mu_L1[4]";1,08918304168733;0,021388302155357;0,000123485420069044;0,000124116108637337;1,04635307637943;1,07480228257748;1,08949975290352;1,10367208636256;1,13018112120569
"Mu_L1[5]";1,06069875064444;0,0228627331647197;0,000131998051470615;0,000130740183104068;1,01558911475967;1,04533483296214;1,06070297296676;1,07608616767524;1,1050430734957
"Mu_L1[6]";1,04752224615658;0,0231531791389692;0,000133674942084795;0,000135803959361968;1,00141942496634;1,03207215169266;1,04785288336025;1,06326932936501;1,09159049242089
"Mu_L1[7]";1,10629902999936;0,0197699605821808;0,000114141920639904;0,000113988717776403;1,06690051131954;1,09323145803152;1,10644754815828;1,11973684105823;1,14473966788275
"Mu_L1[8]";1,11544039115262;0,0208465402630357;0,00012035755632536;0,000119912407228697;1,07360660741672;1,10155419245859;1,11580148886625;1,12955990538991;1,15566571331797
"Mu_L1[9]";1,04870329265774;0,0218793704054976;0,000126320603933136;0,000126006535846626;1,00498278293003;1,03433697536102;1,04899443414269;1,06347837588766;1,09066830264227
"Mu_L1[10]";1,08132300901827;0,0239293965466809;0,000138156435377715;0,000135991479552972;1,03315523144337;1,06541528927503;1,08155424705778;1,09762824085769;1,12763484334468
"Mu_L1[11]";1,02990957536638;0,0221037262214824;0,000127615922840667;0,000128525611664065;0,986063117532376;1,01520270164607;1,03008097512099;1,04472985198321;1,07285475969437
"Mu_L1[12]";1,07419314594563;0,0215390503096754;0,0001243557649438;0,000123507524136671;1,03140871634955;1,05979308486592;1,0744829460388;1,08876691552261;1,11603983843433
"Mu_L1[13]";1,0661395469113;0,023624570718205;0,00013639652263645;0,000135370368739072;1,0192863580119;1,05046886914413;1,06630710830023;1,08210441271494;1,11210988756064
"Mu_L1[14]";1,04142051945257;0,0187396367329321;0,000108193343122741;0,000107571829401377;1,00385570026536;1,02897246043904;1,04169573093402;1,05407374744084;1,0777608790166
"Mu_L1[15]";0,985443800558791;0,0197500727177487;0,000114027098001069;0,000114345431139671;0,945668426633538;0,972299377794568;0,985719575982577;0,998855935347074;1,02341835804334
"Mu_L1[16]";1,06493992417286;0,023709882110581;0,000136889068189983;0,000136050549835409;1,01779518086894;1,04888059045292;1,06527618834009;1,08102942682194;1,11057132334859
"Mu_L1[17]";0,983368364147916;0,0194698685588117;0,000112409338535166;0,000112434161846264;0,944659751443386;0,970114936998231;0,983584641706911;0,99670839603056;1,02083890276543
"Mu_L1[18]";0,97592297556461;0,0176417136510739;0,000101854481254138;0,000103946524228534;0,940297291247526;0,964335333014473;0,976278196152266;0,987928766783016;1,00985120107316
"Mu_L1[19]";1,05484371376046;0,0202211089729662;0,000116746627088548;0,000117135345360464;1,01433768153955;1,04143458968571;1,05494456627414;1,06859061866824;1,09384686262177
"Mu_L1[20]";1,02075391430493;0,0181235787963051;0,000104636530967261;0,0001055000045581;0,984613657921244;1,0086823649879;1,02085672765584;1,03297217139023;1,05576578486847
"Mu_L1[21]";1,02689873239303;0,019401729231948;0,000112015935948094;0,000111226418903239;0,98821659983209;1,01383582068998;1,02701553180359;1,03991170521667;1,06457790329897
"Mu_L1[22]";1,02999928003143;0,0202175190684321;0,000116725900765057;0,000117384416583999;0,990081872917679;1,01652646161753;1,03016316047117;1,04373534896937;1,06922369016047
"Mu_L1[23]";0,995646446800366;0,0210972487540748;0,000121805022473256;0,00012180513015304;0,953248042540483;0,981553183674834;0,996103522407486;1,01003904988846;1,03677264203208
"Mu_L1[24]";1,0100434617446;0,0210162004017887;0,000121337089593159;0,000121331934823368;0,968343125361354;0,995976984112405;1,01026870109548;1,02428494501463;1,05053150322293
