"";"X1996";"X1997";"X1998";"X1999";"X2000";"X2001";"X2002";"X2003";"X2004";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017";"X2018";"X2019"
"11";3,056117375;2,606688349;3,40442487;3,355736725;3,273341404;3,426896321;2,456878674;2,999938747;3,483074949;3,340755758;2,580471656;2,865110039;3,093569794;2,838893346;2,539251479;2,850129071;2,666612219;2,692828912;2,917543425;2,426916739;2,292088031;2,670357461;2,730281331;2,483095367
"12";2,917543425;3,318284307;3,134767454;3,134767454;2,782714718;3,00742923;2,898817216;3,202181808;2,677847945;3,014919714;3,561725029;3,112296003;3,056117375;2,217183194;2,56923593;2,831402862;2,82765762;2,366992869;2,741517057;2,486840609;2,307068999;2,771478992;2,895071974;2,396954804
"13";2,574275637;3,250869953;3,089824552;3,337010516;3,450530028;2,910052942;3,164729389;3,059862617;3,112296003;2,674102703;3,381953419;2,857619555;2,872600523;2,962486328;2,434407223;2,689083671;2,638258833;2,026175858;2,490585851;2,678509585;2,940014877;3,033645924;2,861364797;2,337030934
"14";3,22465326;2,917543425;3,617903657;2,737771815;3,530637734;3,498055917;2,88758149;3,460603498;2,778276667;2,988703021;2,580471656;2,936269635;2,880091006;3,067353101;2,483095367;3,258360436;2,64742967;2,498076335;2,94750536;2,734026573;2,636650284;2,655376494;2,786459959;2,913798183
"15";3,303303339;3,093569794;3,097315036;2,70780988;2,366992869;3,501801159;3,520527368;3,187200841;2,666106423;3,168474631;3,02615544;3,014919714;2,516802544;2,917543425;2,662866977;2,838893346;2,22253355;2,505566818;2,340776176;2,793950443;3,022410198;2,778969476;2,988703021;2,595452624
"16";3,471839224;2,96623157;3,168474631;2,79684369;2,666612219;3,243379469;2,685338429;3,337010516;2,591399412;2,636650284;2,872600523;2,524293028;2,625414559;2,842638588;2,808931411;2,498076335;2,741517057;2,177335176;2,808931411;2,763989828;2,84638383;2,932524393;2,498076335;2,483095367
"17";2,902562458;3,041136407;3,074843584;2,754820997;3,262105678;2,782714718;2,967223634;3,228398501;3,37115383;3,217162776;2,619426625;2,775224234;2,662866977;2,82765762;2,535528753;2,951250602;2,254635612;2,595452624;2,890227453;2,715300364;2,524293028;2,239654645;2,704064638;2,984957779
"18";3,307048581;3,22465326;3,127276971;2,778166938;2,775224234;2,554254963;3,520527368;3,157238906;2,936919334;3,198436566;3,198436566;2,38946432;2,734026573;2,786459959;2,891326732;2,883836248;2,340776176;2,307068999;2,554045907;2,404445288;2,928779151;2,969976812;2,831402862;2,973722054
"19";3,074843584;2,640395526;2,651631252;3,170378741;3,025633909;2,96623157;3,048626891;3,011174472;2,698790739;2,868855281;2,99761878;2,816526066;2,175985533;2,741517057;2,730281331;2,680732904;2,438152465;2,749007541;2,719045606;2,52803827;2,973722054;2,981212537;2,44938819;2,954995844
"20";3,078588826;3,048626891;2,823912378;3,030303097;3,168474631;2,475604883;2,981212537;3,00742923;2,84820476;3,137694424;2,759490185;2,606688349;2,393209562;2,644140768;2,307068999;3,153493664;2,303323757;2,498389961;2,265871338;2,56923593;2,546764479;3,198436566;3,104805519;3,014919714
