index;stage;cohort;sexe;age;migration;end1sum
325;Smolt;1996;NA;Other;NA;NA
326;Smolt;1996;NA;1FW;NA;NA
327;Smolt;1996;NA;Other;NA;NA
328;Smolt;1996;NA;Other;NA;NA
329;Smolt;1996;NA;Other;NA;NA
330;Smolt;1996;NA;Other;NA;NA
331;Smolt;1996;NA;1FW;NA;NA
332;Smolt;1996;NA;Other;NA;NA
333;Smolt;1996;NA;Other;NA;NA
334;Smolt;1996;NA;Other;NA;NA
335;Smolt;1996;NA;Other;NA;NA
336;Smolt;1996;NA;Other;NA;NA
337;Smolt;1996;NA;Other;NA;NA
338;Smolt;1996;NA;Other;NA;NA
339;Smolt;1996;NA;Other;NA;NA
340;Smolt;1996;NA;Other;NA;NA
341;Smolt;1996;NA;Other;NA;NA
342;Smolt;1996;NA;Other;NA;NA
343;Smolt;1996;NA;Other;NA;NA
344;Smolt;1996;NA;Other;NA;NA
345;Smolt;1996;NA;Other;NA;NA
346;Smolt;1996;NA;Other;NA;NA
347;Smolt;1996;NA;1FW;NA;NA
348;Smolt;1996;NA;Other;NA;NA
349;Smolt;1996;NA;Other;NA;NA
350;Smolt;1996;NA;Other;NA;NA
351;Smolt;1996;NA;Other;NA;NA
352;Smolt;1996;NA;Other;NA;NA
353;Smolt;1996;NA;Other;NA;NA
354;Smolt;1996;NA;Other;NA;NA
355;Smolt;1996;NA;Other;NA;NA
356;Smolt;1996;NA;Other;NA;NA
357;Smolt;1996;NA;Other;NA;NA
358;Smolt;1996;NA;Other;NA;NA
359;Smolt;1996;NA;1FW;NA;NA
360;Smolt;1996;NA;Other;NA;NA
361;Smolt;1996;NA;Other;NA;NA
362;Smolt;1996;NA;Other;NA;NA
363;Smolt;1996;NA;Other;NA;NA
364;Smolt;1996;NA;Other;NA;NA
365;Smolt;1996;NA;Other;NA;NA
366;Smolt;1996;NA;Other;NA;NA
367;Smolt;1996;NA;Other;NA;NA
368;Smolt;1996;NA;Other;NA;NA
369;Smolt;1996;NA;Other;NA;NA
370;Smolt;1996;NA;Other;NA;NA
371;Smolt;1996;NA;Other;NA;NA
372;Smolt;1996;NA;Other;NA;NA
